F1: 0.02597,Precision: 0.02597,Recall: 0.02597,,
Col,Row,Value,Submitted URI,Correct URI's
1,2,Winnipeg,http://de.dbpedia.org/resource/ITF_Winnipeg,"http://dbpedia.org/resource/École_Marie-Anne-Gaboury,_Winnipeg http://dbpedia.org/resource/Archwood_School http://dbpedia.org/resource/Archwood_School,_Winnipeg http://dbpedia.org/resource/Winnipeg http://dbpedia.org/resource/Victor_Mager_School http://dbpedia.org/resource/Ecole_Marie-Anne-Gaboury http://dbpedia.org/resource/List_of_festivals_in_Winnipeg http://dbpedia.org/resource/Winnipeg,_MB,_Canada http://dbpedia.org/resource/Windsor_School,_Winnipeg http://dbpedia.org/resource/Darwin_School http://dbpedia.org/resource/École_Marie-Anne-Gaboury http://dbpedia.org/resource/Frontenac_School,_Winnipeg http://dbpedia.org/resource/Whinnipeg http://dbpedia.org/resource/Winnipeg,_Manitoba,_Canada http://dbpedia.org/resource/Winterpeg http://dbpedia.org/resource/Whyte_Ridge http://dbpedia.org/resource/Shamrock_School http://dbpedia.org/resource/Darwin_School,_Winnipeg http://dbpedia.org/resource/Shamrock_School,_Winnipeg http://dbpedia.org/resource/The_weather_in_Winnipeg http://dbpedia.org/resource/Winnepeg,_Manitoba http://dbpedia.org/resource/École_Guyot,_Winnipeg http://dbpedia.org/resource/Ecole_Guyot http://dbpedia.org/resource/St._John_Brebeuf_School_(Winnipeg) http://dbpedia.org/resource/Winnepeg http://dbpedia.org/resource/The_peg http://dbpedia.org/resource/George_McDowell_School,_Winnipeg http://dbpedia.org/resource/Victor_Mager_School,_Winnipeg http://dbpedia.org/resource/WPG http://dbpedia.org/resource/Winnipeg,_Canada http://dbpedia.org/resource/Winnipeg,_MB http://dbpedia.org/resource/Frontenac_School http://dbpedia.org/resource/École_Guyot http://dbpedia.org/resource/Winnipeg,_Manitoba http://dbpedia.org/resource/Capital_of_Manitoba http://dbpedia.org/resource/UN/LOCODE:CAWNP http://dbpedia.org/resource/Winipeg http://dbpedia.org/resource/List_of_Winnipeg_sister_cities http://dbpedia.org/resource/Winnipegger http://dbpedia.org/resource/City_of_Winnipeg http://dbpedia.org/resource/List_of_Winnipeg_MPs_and_MLAs http://dbpedia.org/resource/The_Peg"
1,3,Saskatoon,http://dbpedia.org/resource/Saskatoon_experiment,"http://dbpedia.org/resource/Saskatoon,_Sask. http://dbpedia.org/resource/Images_of_Saskatoon http://dbpedia.org/resource/The_weather_in_Saskatoon http://dbpedia.org/resource/UN/LOCODE:CASAK http://dbpedia.org/resource/Paris_of_the_Prairies http://dbpedia.org/resource/Saskatonian http://dbpedia.org/resource/Nutana,_Saskatchewan http://dbpedia.org/resource/Saskatoon http://dbpedia.org/resource/City_of_Saskatoon http://dbpedia.org/resource/Riversdale,_Saskatchewan http://dbpedia.org/resource/Saskatoon,_SK http://dbpedia.org/resource/Sask_at_the_toon http://dbpedia.org/resource/Saskatoon,_Saskatchewan http://dbpedia.org/resource/Saskatoon,_Canada"
1,4,Edmonton,http://dbpedia.org/resource/2008_Rexall_Edmonton_Indy,"http://dbpedia.org/resource/Edmonoton,_Alberta http://dbpedia.org/resource/Edmonton,_Alberta http://dbpedia.org/resource/E_town http://dbpedia.org/resource/Culture_of_Edmonton http://dbpedia.org/resource/Campbell,_Edmonton http://dbpedia.org/resource/Edmonton,_Alberta,_Canada http://dbpedia.org/resource/Edmonchuk http://dbpedia.org/resource/Edmonton,_Canada http://dbpedia.org/resource/UN/LOCODE:CAEDM http://dbpedia.org/resource/World's_Largest_Artificial_Cowboy_Boot http://dbpedia.org/resource/184_Street,_Edmonton http://dbpedia.org/resource/S._Bruce_Smith_School http://dbpedia.org/resource/The_weather_in_Edmonton http://dbpedia.org/resource/17_Street_NW,_Edmonton http://dbpedia.org/resource/17_Street,_Edmonton http://dbpedia.org/resource/Canada's_Largest_Baseball_Bat http://dbpedia.org/resource/Edmonton,_AB http://dbpedia.org/resource/Edmonton,_Alta. http://dbpedia.org/resource/Edmonton http://dbpedia.org/resource/Edmonton_Alberta http://dbpedia.org/resource/S.Bruce_Smith_School http://dbpedia.org/resource/Hayter_Road http://dbpedia.org/resource/Edmontonians http://dbpedia.org/resource/Clover_Bar,_Edmonton http://dbpedia.org/resource/159_Street,_Edmonton http://dbpedia.org/resource/City_of_Edmonton http://dbpedia.org/resource/82_Street,_Edmonton http://dbpedia.org/resource/Capital_of_Alberta"
1,5,Calgary,http://dbpedia.org/resource/Calgary_Indoor,"http://dbpedia.org/resource/Calagary http://dbpedia.org/resource/Calgary_Alberta http://dbpedia.org/resource/Calgarians http://dbpedia.org/resource/Calgry http://dbpedia.org/resource/Calgary,_Canada http://dbpedia.org/resource/Almadina_(school) http://dbpedia.org/resource/Calgarian http://dbpedia.org/resource/The_weather_in_Calgary http://dbpedia.org/resource/Art_Gallery_of_Calgary http://dbpedia.org/resource/Calgary,_Alberta http://dbpedia.org/resource/C-Spot http://dbpedia.org/resource/Calgary,_Alberta,_Canada http://dbpedia.org/resource/C_Spot http://dbpedia.org/resource/Almadina_Language_Charter_Academy http://dbpedia.org/resource/Calgary,_Alberta_Canada http://dbpedia.org/resource/Calgary,_Albreta http://dbpedia.org/resource/Calgary http://dbpedia.org/resource/City_of_Calgary http://dbpedia.org/resource/Culture_of_Calgary http://dbpedia.org/resource/UN/LOCODE:CACAL http://dbpedia.org/resource/Calgary,_AB"
1,6,Vancouver,http://dbpedia.org/resource/2013_Odlum_Brown_Vancouver_Open,"http://dbpedia.org/resource/Vancouver,_B.C. http://dbpedia.org/resource/Hong_kouver http://dbpedia.org/resource/Vancouver,_British_Columbia,_Canada http://dbpedia.org/resource/Hong_couver http://dbpedia.org/resource/Vancouver,_BC http://dbpedia.org/resource/Vancouver http://dbpedia.org/resource/Vancover http://dbpedia.org/resource/Vancouver_British_Columbia http://dbpedia.org/resource/Vancouverite http://dbpedia.org/resource/Vancouver_(BC) http://dbpedia.org/resource/Vancouver,_B.C.,_Canada http://dbpedia.org/resource/Corpus_Christi_Elementary http://dbpedia.org/resource/Vancouver,_British_Columbia http://dbpedia.org/resource/Vancouverites http://dbpedia.org/resource/Vancouver_Canada http://dbpedia.org/resource/Corpus_Christi_Elementary_School_(Canada) http://dbpedia.org/resource/Vancouver_(Canada) http://dbpedia.org/resource/Vancouver_BC http://dbpedia.org/resource/Vancouver_Christian_School http://dbpedia.org/resource/Vancouver,_bc http://dbpedia.org/resource/Vancouver_City_Centre,_British_Columbia http://dbpedia.org/resource/Vansterdam http://dbpedia.org/resource/Vancouvr http://dbpedia.org/resource/Vancouver,_BC,_Canada http://dbpedia.org/resource/Hongcouver http://dbpedia.org/resource/Vancouver,_British-Columbia http://dbpedia.org/resource/Food_in_vancouver http://dbpedia.org/resource/Greater_Vancouver_Bridges http://dbpedia.org/resource/Vancover,_British_Columbia http://dbpedia.org/resource/UN/LOCODE:CAVAN http://dbpedia.org/resource/City_of_Vancouver http://dbpedia.org/resource/Vanocuver http://dbpedia.org/resource/South_Vancouver,_British_Columbia http://dbpedia.org/resource/Vancouver,_Canada http://dbpedia.org/resource/Hastings_East_(Vancouver) http://dbpedia.org/resource/Vancouver,_British_Colombia http://dbpedia.org/resource/Vancouver_(B.C.)"
1,7,Spokane,http://fr.dbpedia.org/resource/Spokane_(langue),"http://dbpedia.org/resource/Spokane,_Washington http://dbpedia.org/resource/Spokane_(WA) http://dbpedia.org/resource/Spokane,_wa http://dbpedia.org/resource/Spokane,_Washington_(State) http://dbpedia.org/resource/Spokane,_WA http://dbpedia.org/resource/West_Spokane,_Washington http://dbpedia.org/resource/SPOKANE,_WA http://dbpedia.org/resource/Spokane,_Washington_metropolitan_area http://dbpedia.org/resource/Spokane,_Wa http://dbpedia.org/resource/Spokompton http://dbpedia.org/resource/The_Lilac_City http://dbpedia.org/resource/Spokane,_Wash., http://dbpedia.org/resource/Spokane http://dbpedia.org/resource/Spokane,_Wash. http://dbpedia.org/resource/Spokane_WA http://dbpedia.org/resource/UN/LOCODE:USGEG"
1,8,Tacoma,http://dbpedia.org/resource/Tacoma-class_frigate,"http://dbpedia.org/resource/UN/LOCODE:USTIW http://dbpedia.org/resource/Tacoma,_Washington http://dbpedia.org/resource/History_of_Tacoma,_Washington http://dbpedia.org/resource/Tacoma_City_Center,_Washington http://dbpedia.org/resource/Tacoma,_WA http://dbpedia.org/resource/Tacoma,_Wash. http://dbpedia.org/resource/Tacoma_(WA) http://dbpedia.org/resource/Tacoma http://dbpedia.org/resource/Tacoma,_Wa http://dbpedia.org/resource/Tacoma,_wa http://dbpedia.org/resource/Tacoma_Washington"
1,9,Portland,http://dbpedia.org/resource/2016_IAAF_World_Indoor_Championships,"http://dbpedia.org/resource/Little_Beirut http://dbpedia.org/resource/Portlind,_Oregon http://dbpedia.org/resource/Culture_of_Portland,_Oregon http://dbpedia.org/resource/Portland_Oregon/Lore http://dbpedia.org/resource/Portland_or http://dbpedia.org/resource/Portland_(Or.) http://dbpedia.org/resource/Portlnad,_Oregon http://dbpedia.org/resource/UN/LOCODE:USPDX http://dbpedia.org/resource/Portland_(Oregon,_United_States) http://dbpedia.org/resource/Oregon_Portland http://dbpedia.org/resource/Portland,_OR http://dbpedia.org/resource/Portland,_Oreg. http://dbpedia.org/resource/PortlandOregon http://dbpedia.org/resource/Portland,OR http://dbpedia.org/resource/Portland_Oregon http://dbpedia.org/resource/Portland,_or http://dbpedia.org/resource/Portland,_Or http://dbpedia.org/resource/Portland,_Oregon http://dbpedia.org/resource/Portland,_Ore. http://dbpedia.org/resource/Portland_(Oregon) http://dbpedia.org/resource/Portland_(OR) http://dbpedia.org/resource/Portland_Ore"
1,10,Sacramento,http://dbpedia.org/resource/Natomas_Men's_Professional_Tennis_Tournament,"http://dbpedia.org/resource/Chinatown,_Sacramento http://dbpedia.org/resource/Sacremento,_CA http://dbpedia.org/resource/Sacramento,_Calif. http://dbpedia.org/resource/Macramento http://dbpedia.org/resource/Sacramento,_USA http://dbpedia.org/resource/Sacrmento,_CA http://dbpedia.org/resource/Sacramento_(city) http://dbpedia.org/resource/Sactown http://dbpedia.org/resource/Capital_of_California http://dbpedia.org/resource/Sacramento-Arden-Arcade-Truckee,_CA-NV_CSA http://dbpedia.org/resource/Sacramento_ca http://dbpedia.org/resource/Sacramento,_California,_USA http://dbpedia.org/resource/Sacramento http://dbpedia.org/resource/Sacramento_Horror_Film_Festival http://dbpedia.org/resource/Sacramento_California http://dbpedia.org/resource/Sacramento,_CA http://dbpedia.org/resource/Ciudad_Aztlán http://dbpedia.org/resource/Sacramento,_California,_United_States http://dbpedia.org/resource/Sacto http://dbpedia.org/resource/Sacremento http://dbpedia.org/resource/Capital_of_california http://dbpedia.org/resource/UN/LOCODE:USSAC http://dbpedia.org/resource/Sacramento,_Ca http://dbpedia.org/resource/Sacrmento,_California http://dbpedia.org/resource/Sacremento,_California http://dbpedia.org/resource/Sacramento,_ca http://dbpedia.org/resource/Sacramento_(CA) http://dbpedia.org/resource/Sacramento,_California http://dbpedia.org/resource/Sacramento-Arden-Arcade-Yuba_City,_CA-NV_CSA http://dbpedia.org/resource/Sacramento_(California) http://dbpedia.org/resource/二埠"
