F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Shades of Truth æ°´æ»¸ç\u0084¡é\u0096\u0093é\u0081\u0093,http://dbpedia.org/resource/American_English,http://dbpedia.org/resource/Shades_of_Truth http://dbpedia.org/resource/Shades_Of_Truth
1,2,My Family ç\u0094\u009Cå­«ç\u0088ºç\u0088º,http://dbpedia.org/resource/United_States_dollar,http://dbpedia.org/resource/My_Family_(Hong_Kong_TV_series) http://dbpedia.org/resource/My_Family_(TVB) http://dbpedia.org/resource/My_Family_(TVB_TV_series)
1,3,Love Bond å¿\u0083è\u008A±æ\u0094¾,http://dbpedia.org/resource/Love_to_Love_You_Baby_(song),http://dbpedia.org/resource/Love_Bond
1,4,The Academy å­¸è­¦é\u009B\u0084å¿\u0083,http://dbpedia.org/resource/Manchester_United_F.C.,http://dbpedia.org/resource/The_Academy_(TVB) http://dbpedia.org/resource/The_Academy_(TVB_TV_series) http://dbpedia.org/resource/The_Academy_(2005_TV_series)
1,5,The Gentle Crackdown ç§\u0080æ\u0089\u008Dé\u0081\u0087è\u0091\u0097å µ,,http://dbpedia.org/resource/The_Gentle_Crackdown
1,6,Misleading Track å¥ªå\u0091½ç\u009C\u009Få¤«,"http://dbpedia.org/resource/Washington,_D.C.",http://dbpedia.org/resource/Misleading_Track
1,7,Wars of In-Laws æ\u0088\u0091ç\u009A\u0084é\u0087\u008Eè »å¥¶å¥¶,http://dbpedia.org/resource/The_War_at_Home_(TV_series),http://dbpedia.org/resource/Wars_of_In-laws http://dbpedia.org/resource/Wars_of_In-Laws
1,8,Revolving Doors of Vengeance é \u0092åº\u0097é¢¨é\u009B²,http://dbpedia.org/resource/Soviet_Union,http://dbpedia.org/resource/Revolving_Doors_of_Vengeance http://dbpedia.org/resource/Revolving_Doors_Of_Vengeance
1,9,Into Thin Air äººé\u0096\u0093è\u0092¸ç\u0099¼,http://dbpedia.org/resource/Pye_Wacket,http://dbpedia.org/resource/Into_Thin_Air_(TV_series) http://dbpedia.org/resource/Into_Thin_Air_(TVB)
1,10,Life Made Simple é\u0098¿æ\u0097ºæ\u0096°å\u0082³,,http://dbpedia.org/resource/Life_Made_Simple
1,11,When Rules Turn Loose è­\u0098æ³\u0095ä»£è¨\u0080äºº,http://dbpedia.org/resource/The_Amazing_Race,http://dbpedia.org/resource/識法代言人 http://dbpedia.org/resource/When_Rules_Turn_Loose
