F1: 0.10000,Precision: 0.10000,Recall: 0.10000,,
Col,Row,Value,Submitted URI,Correct URI's
3,7,Montreal,http://dbpedia.org/resource/Montreal_Forum,"http://dbpedia.org/resource/Montréal's http://dbpedia.org/resource/Ville_de_Montréal http://dbpedia.org/resource/Montréal,_Québec http://dbpedia.org/resource/Tiohtiá:ke http://dbpedia.org/resource/Montreal_Skyline http://dbpedia.org/resource/Motnreal http://dbpedia.org/resource/Ville_de_Montreal http://dbpedia.org/resource/Montreol http://dbpedia.org/resource/Sister_Cities_of_Montreal http://dbpedia.org/resource/Montreal,_QB http://dbpedia.org/resource/Team990 http://dbpedia.org/resource/Montréal,_Quebec http://dbpedia.org/resource/Montréal,_Canada http://dbpedia.org/resource/Montrealer http://dbpedia.org/resource/Montrela http://dbpedia.org/resource/Montreal,_Qc http://dbpedia.org/resource/MontrA(c)al http://dbpedia.org/resource/Montréal,_Quebec_(Province) http://dbpedia.org/resource/Montreal,_Canada http://dbpedia.org/resource/Montreal,_Quebec,_Canada http://dbpedia.org/resource/The_weather_in_Montréal http://dbpedia.org/resource/Montréal_(Québec) http://dbpedia.org/resource/Montréal,_QB http://dbpedia.org/resource/Montreal,_Qc,_Canada http://dbpedia.org/resource/Montréal,_Québec,_Canada http://dbpedia.org/resource/Montreal,_PQ http://dbpedia.org/resource/Montréal,_Québec_(Province) http://dbpedia.org/resource/Montreal,_qc http://dbpedia.org/resource/Montreal,_Québec http://dbpedia.org/resource/Montreal,_Quebec http://dbpedia.org/resource/City_of_Montreal http://dbpedia.org/resource/Montréal http://dbpedia.org/resource/Montréal,_QC http://dbpedia.org/resource/Montreal http://dbpedia.org/resource/Montrea http://dbpedia.org/resource/Montreal_(QC) http://dbpedia.org/resource/Montreal,_QC http://dbpedia.org/resource/The_weather_in_Montreal http://dbpedia.org/resource/Montreal's http://dbpedia.org/resource/Montreal,_quebec http://dbpedia.org/resource/Funtreal http://dbpedia.org/resource/UN/LOCODE:CAMTR http://dbpedia.org/resource/Montréal,_PQ http://dbpedia.org/resource/Montrealers http://dbpedia.org/resource/Montreal,_Que. http://dbpedia.org/resource/City_of_Montréal http://dbpedia.org/resource/Montréal_(QC)"
3,8,Bucharest,http://dbpedia.org/resource/Henri_Coandă_International_Airport,"http://dbpedia.org/resource/Bucharest,Romania http://dbpedia.org/resource/Capital_of_Romania http://dbpedia.org/resource/Bukarest http://dbpedia.org/resource/Micul_Paris http://dbpedia.org/resource/Bucareşti http://dbpedia.org/resource/Bucureşti http://dbpedia.org/resource/Bucarest http://dbpedia.org/resource/Bucharest,_Rumania http://dbpedia.org/resource/București http://dbpedia.org/resource/UN/LOCODE:ROBUH http://dbpedia.org/resource/Bucuresti,_Romania http://dbpedia.org/resource/Bucharest,_Romania http://dbpedia.org/resource/Bucaresti http://dbpedia.org/resource/BucureAYti http://dbpedia.org/resource/Bucarești http://dbpedia.org/resource/Etymology_of_Bucharest http://dbpedia.org/resource/Bucharest http://dbpedia.org/resource/Bucuresti http://dbpedia.org/resource/Municipality_of_Bucharest http://dbpedia.org/resource/Boekarest http://dbpedia.org/resource/Bucharest,_Bucharest"
3,9,Prague,http://dbpedia.org/resource/Prague_Castle,"http://dbpedia.org/resource/Capital_city_of_the_Czech_Republic http://dbpedia.org/resource/Capital_of_the_Czech_Republic http://dbpedia.org/resource/Prague,_Bohemia http://dbpedia.org/resource/Prague http://dbpedia.org/resource/Wards_of_Prague http://dbpedia.org/resource/CZPRG http://dbpedia.org/resource/Prague,_Czechoslovakia http://dbpedia.org/resource/City_of_Prague http://dbpedia.org/resource/Prauge http://dbpedia.org/resource/Prague,_Czechia http://dbpedia.org/resource/UN/LOCODE:CZPRG http://dbpedia.org/resource/Praque http://dbpedia.org/resource/Prague,_Bohemia,_Czech_Republic http://dbpedia.org/resource/Capital_of_Czech_Republic http://dbpedia.org/resource/Historic_Centre_of_Prague http://dbpedia.org/resource/Prahy http://dbpedia.org/resource/NUTS_Praha http://dbpedia.org/resource/Prague_tourism http://dbpedia.org/resource/Prague,_Czech_Republic http://dbpedia.org/resource/Greater_Prague http://dbpedia.org/resource/Prague_(Czech_Republic) http://dbpedia.org/resource/Prague_,Czech_Republic http://dbpedia.org/resource/NUTS_Prague http://dbpedia.org/resource/Praha,_Czech_Republic http://dbpedia.org/resource/Hlavní_město_Praha http://dbpedia.org/resource/Praha http://dbpedia.org/resource/Prahou"
3,10,Paris,http://dbpedia.org/resource/Notre-Dame_de_Paris,"http://dbpedia.org/resource/Paris,France http://dbpedia.org/resource/Département_de_Paris http://dbpedia.org/resource/Ville_Lumiere http://dbpedia.org/resource/Departement_de_Paris http://dbpedia.org/resource/Paris_(etymology) http://dbpedia.org/resource/Name_of_Paris_and_its_inhabitants http://dbpedia.org/resource/Suburbs_of_Paris http://dbpedia.org/resource/Cuisine_of_Paris http://dbpedia.org/resource/Leucetia http://dbpedia.org/resource/Parijs http://dbpedia.org/resource/Paris_France http://dbpedia.org/resource/Sports_in_Paris http://dbpedia.org/resource/Rue_de_Ménilmontant http://dbpedia.org/resource/Paris,_Ile-De-France http://dbpedia.org/resource/Paris_agglomeration http://dbpedia.org/resource/Ville_Lumière http://dbpedia.org/resource/France_Paris http://dbpedia.org/resource/The_weather_in_Paris http://dbpedia.org/resource/Sport_in_Paris http://dbpedia.org/resource/Paris,_France http://dbpedia.org/resource/FRPAR http://dbpedia.org/resource/Paris http://dbpedia.org/resource/Paree http://dbpedia.org/resource/Parisien http://dbpedia.org/resource/Paris_(France) http://dbpedia.org/resource/París http://dbpedia.org/resource/UN/LOCODE:FRPAR http://dbpedia.org/resource/Rue_de_Menilmontant http://dbpedia.org/resource/Name_of_paris_and_its_inhabitants http://dbpedia.org/resource/Paris,_Île-de-France,_France http://dbpedia.org/resource/Paris,_Europe http://dbpedia.org/resource/Parisian_(person) http://dbpedia.org/resource/Paname http://dbpedia.org/resource/Paris,_Île-de-France http://dbpedia.org/resource/The_City_of_Love_(city) http://dbpedia.org/resource/Paris_(city) http://dbpedia.org/resource/Paris,_Banks_of_the_Seine"
3,13,Bucharest,http://dbpedia.org/resource/Henri_Coandă_International_Airport,"http://dbpedia.org/resource/Bucharest,Romania http://dbpedia.org/resource/Capital_of_Romania http://dbpedia.org/resource/Bukarest http://dbpedia.org/resource/Micul_Paris http://dbpedia.org/resource/Bucareşti http://dbpedia.org/resource/Bucureşti http://dbpedia.org/resource/Bucarest http://dbpedia.org/resource/Bucharest,_Rumania http://dbpedia.org/resource/București http://dbpedia.org/resource/UN/LOCODE:ROBUH http://dbpedia.org/resource/Bucuresti,_Romania http://dbpedia.org/resource/Bucharest,_Romania http://dbpedia.org/resource/Bucaresti http://dbpedia.org/resource/BucureAYti http://dbpedia.org/resource/Bucarești http://dbpedia.org/resource/Etymology_of_Bucharest http://dbpedia.org/resource/Bucharest http://dbpedia.org/resource/Bucuresti http://dbpedia.org/resource/Municipality_of_Bucharest http://dbpedia.org/resource/Boekarest http://dbpedia.org/resource/Bucharest,_Bucharest"
3,14,Munich,http://dbpedia.org/resource/Olympiastadion_(Munich),"http://dbpedia.org/resource/Muenchen http://dbpedia.org/resource/Munique http://dbpedia.org/resource/Munchen,_Germany http://dbpedia.org/resource/München_IRO_displaced_persons_camp http://dbpedia.org/resource/München,_Germany http://dbpedia.org/resource/Munchen_IRO_displaced_persons_camp http://dbpedia.org/resource/Munich_(Germany) http://dbpedia.org/resource/Munchen http://dbpedia.org/resource/Muenich http://dbpedia.org/resource/City_of_Munich http://dbpedia.org/resource/Munich,_Bavaria http://dbpedia.org/resource/DEMUC http://dbpedia.org/resource/Munich_West_Germany http://dbpedia.org/resource/Múnich http://dbpedia.org/resource/Muenchen_IRO_displaced_persons_camp http://dbpedia.org/resource/Muenchen,_Germany http://dbpedia.org/resource/Monaco_di_Baviera http://dbpedia.org/resource/München http://dbpedia.org/resource/Monachium http://dbpedia.org/resource/Munichen http://dbpedia.org/resource/Münich http://dbpedia.org/resource/Monaco_of_Bavaria http://dbpedia.org/resource/Obermenzing http://dbpedia.org/resource/Munich,_Germany http://dbpedia.org/resource/UN/LOCODE:DEMUC http://dbpedia.org/resource/Education_in_Munich http://dbpedia.org/resource/Munich"
3,15,Kiev,http://dbpedia.org/resource/Kiev_Pechersk_Lavra,"http://dbpedia.org/resource/Keiv http://dbpedia.org/resource/Kiyeff http://dbpedia.org/resource/Konugard http://dbpedia.org/resource/Kiev,_Ukraine http://dbpedia.org/resource/Kiev,_Misto_Kyyiv http://dbpedia.org/resource/Kiyiv http://dbpedia.org/resource/Кіеў http://dbpedia.org/resource/Kyiv,_Ukraine http://dbpedia.org/resource/Kyjev http://dbpedia.org/resource/UN/LOCODE:UAIEV http://dbpedia.org/resource/Kievan http://dbpedia.org/resource/M._Kyiv http://dbpedia.org/resource/كييف http://dbpedia.org/resource/Kiyeff_Kiev http://dbpedia.org/resource/Кыив http://dbpedia.org/resource/Left-bank_(Kiev) http://dbpedia.org/resource/Kyjiv http://dbpedia.org/resource/Kiev_Municipality http://dbpedia.org/resource/Київ http://dbpedia.org/resource/Kiiow http://dbpedia.org/resource/Kijev http://dbpedia.org/resource/Kiovia http://dbpedia.org/resource/Kiïv http://dbpedia.org/resource/Kijiv http://dbpedia.org/resource/Kiiev http://dbpedia.org/resource/Kyiv http://dbpedia.org/resource/Kijevas http://dbpedia.org/resource/Kiyew http://dbpedia.org/resource/Kyyiv http://dbpedia.org/resource/Kyowia http://dbpedia.org/resource/Kyev http://dbpedia.org/resource/Kÿowia http://dbpedia.org/resource/Kiyv http://dbpedia.org/resource/Kiev,_USSR http://dbpedia.org/resource/קיעוו http://dbpedia.org/resource/Kiow http://dbpedia.org/resource/Kyïv http://dbpedia.org/resource/Киев http://dbpedia.org/resource/Kieff, http://dbpedia.org/resource/Kiev_(Ukraine) http://dbpedia.org/resource/UAIEV http://dbpedia.org/resource/Kiewenburg http://dbpedia.org/resource/Kieff http://dbpedia.org/resource/Kiyev http://dbpedia.org/resource/Ки́ев http://dbpedia.org/resource/Kænugarðr http://dbpedia.org/resource/Capital_of_Ukraine http://dbpedia.org/resource/Capital_city_of_Ukraine http://dbpedia.org/resource/Koenugarðr http://dbpedia.org/resource/Kyiv/Kiev http://dbpedia.org/resource/Kiov http://dbpedia.org/resource/КИЇВ http://dbpedia.org/resource/Kiev http://dbpedia.org/resource/Kyev,_Ukraine http://dbpedia.org/resource/Kyiv_(Koncha_Zaspa) http://dbpedia.org/resource/Koenugard http://dbpedia.org/resource/Kiyiw http://dbpedia.org/resource/Left_Bank_(Kiev) http://dbpedia.org/resource/Kijew http://dbpedia.org/resource/Kiev_(Kyiv)"
3,16,Bucharest,http://dbpedia.org/resource/Henri_Coandă_International_Airport,"http://dbpedia.org/resource/Bucharest,Romania http://dbpedia.org/resource/Capital_of_Romania http://dbpedia.org/resource/Bukarest http://dbpedia.org/resource/Micul_Paris http://dbpedia.org/resource/Bucareşti http://dbpedia.org/resource/Bucureşti http://dbpedia.org/resource/Bucarest http://dbpedia.org/resource/Bucharest,_Rumania http://dbpedia.org/resource/București http://dbpedia.org/resource/UN/LOCODE:ROBUH http://dbpedia.org/resource/Bucuresti,_Romania http://dbpedia.org/resource/Bucharest,_Romania http://dbpedia.org/resource/Bucaresti http://dbpedia.org/resource/BucureAYti http://dbpedia.org/resource/Bucarești http://dbpedia.org/resource/Etymology_of_Bucharest http://dbpedia.org/resource/Bucharest http://dbpedia.org/resource/Bucuresti http://dbpedia.org/resource/Municipality_of_Bucharest http://dbpedia.org/resource/Boekarest http://dbpedia.org/resource/Bucharest,_Bucharest"
3,17,Bucharest,http://dbpedia.org/resource/Henri_Coandă_International_Airport,"http://dbpedia.org/resource/Bucharest,Romania http://dbpedia.org/resource/Capital_of_Romania http://dbpedia.org/resource/Bukarest http://dbpedia.org/resource/Micul_Paris http://dbpedia.org/resource/Bucareşti http://dbpedia.org/resource/Bucureşti http://dbpedia.org/resource/Bucarest http://dbpedia.org/resource/Bucharest,_Rumania http://dbpedia.org/resource/București http://dbpedia.org/resource/UN/LOCODE:ROBUH http://dbpedia.org/resource/Bucuresti,_Romania http://dbpedia.org/resource/Bucharest,_Romania http://dbpedia.org/resource/Bucaresti http://dbpedia.org/resource/BucureAYti http://dbpedia.org/resource/Bucarești http://dbpedia.org/resource/Etymology_of_Bucharest http://dbpedia.org/resource/Bucharest http://dbpedia.org/resource/Bucuresti http://dbpedia.org/resource/Municipality_of_Bucharest http://dbpedia.org/resource/Boekarest http://dbpedia.org/resource/Bucharest,_Bucharest"
